Constituent ID,History Total Years As Member,History Total Active Memberships
"107617615","2","0"
"107617615","1","0"
"107617853","3","0"
"107617853","1","0"
"107617853","3","0"
"107617853","2","0"
"107618207","3","0"
"107618251","11","1"
"107618275","3","0"
"107618275","2","0"
"107618275","1","0"
"107618275","3","0"
"107618291","11","1"
"107619108","3","0"
"107619108","2","0"
"107619141","3","0"
"107619141","4","0"
"107619176","3","0"
"107619193","3","0"
"107619218","3","0"
"107619218","2","0"
"107619266","10","0"
"107619287","1","0"
"107619287","3","0"
"107619287","3","0"
"107619287","2","0"
"107619306","3","0"
"107619306","2","0"
"107619306","1","0"
"107619306","4","0"
"107619338","3","0"
"107619419","3","0"
"107619591","3","1"
"107619591","2","1"
"107619591","1","1"
"107619591","11","1"
"107631423","3","0"
"107631423","2","0"
"107631423","1","0"
"107631423","2","0"
"107632344","3","0"
"107632344","1","0"
"107633261","3","0"
"107633797","3","0"
"107633797","2","0"
"107633797","1","0"
"107634243","3","0"
"107635020","1","0"
"107635020","3","0"
"107635020","2","0"
"107635514","3","0"
"107635514","2","0"
"107636106","3","0"
"107636106","2","0"
"107636106","1","0"
"107636106","5","0"
"107638097","3","0"
"107638719","3","1"
"107638719","2","1"
"107638719","1","1"
"107638719","11","1"
"107639132","3","0"
"107639826","7","0"
"107640309","3","0"
"107640309","1","0"
"107640309","4","0"
"107640856","3","0"
"107640856","2","0"
"107640856","1","0"
"107640856","1","0"
"107640856","2","0"
"107641418","11","1"
"107641768","3","0"
"107642352","3","0"
"107642352","2","0"
"107642352","1","0"
"107642352","1","0"
"107642942","3","1"
"107642942","2","1"
"107642942","12","1"
"107645447","3","0"
"107645974","3","0"
"107645974","2","0"
"107645974","1","0"
"107645974","6","0"
"107646841","11","0"
"107646853","3","1"
"107646853","11","1"
"107647250","3","0"
"107678642","3","0"
"107706539","3","0"
"107710520","3","0"
"107710523","3","0"
"107710622","5","1"
"107710622","2","1"
"107710622","1","1"
"107710622","11","1"
"107746810","3","0"
"107746810","2","0"
"107747873","6","0"
"107752953","3","0"
"107754574","3","0"
"107755204","3","0"
"107759312","11","1"
"107759744","3","0"
"107759774","3","0"
"107759887","3","0"
"107759903","3","0"
