CnBio_ID,CnSmryAct_1_Ttal_nmbr_f_Actins,CnSmryGft_1_Total_Gift_amount
"106581935","14","$1,120.00"
"106582270","0","$0.00"
"106582294","0","$0.00"
"106646854","0","$0.00"
"106650582","0","$60.00"
"106663096","6","$600.00"
"106663527","9","$483.00"
"106663762","3","$750.00"
"106663875","0","$0.00"
"106664551","0","$35.00"
"106664627","0","$0.00"
"106664668","0","$0.00"
"106664822","0","$0.00"
"106664869","0","$0.00"
"106664940","0","$0.00"
"106664951","0","$0.00"
"106665001","0","$0.00"
"106665018","14","$1,110.00"
"106665067","0","$0.00"
"106665096","0","$70.00"
"106665109","0","$0.00"
"106665253","0","$145.00"
"106665269","0","$0.00"
"106665281","0","$0.00"
"106665296","0","$0.00"
"106665343","0","$0.00"
"106665355","0","$0.00"
"106665368","0","$0.00"
"106665483","1","$675.00"
"106665558","0","$320.00"
"106670039","0","$0.00"
"106674693","0","$0.00"
"106674751","0","$0.00"
"106674788","0","$0.00"
"106674827","0","$35.00"
"106674841","0","$70.00"
"106678037","0","$0.00"
"106679196","1","$510.00"
"106680375","0","$35.00"
"106680422","0","$0.00"
"106680464","0","$0.00"
"106680790","0","$0.00"
"106680890","0","$0.00"
"106681219","3","$135.00"
"106681539","0","$0.00"
"106681564","0","$0.00"
"106681683","0","$0.00"
"106684055","0","$0.00"
"106684449","0","$580.00"
"106684802","1","$255.00"
"106684906","0","$250.00"
"106684957","0","$120.00"
"106684992","0","$70.00"
"106686223","0","$0.00"
"106686548","1","$520.00"
"106691952","0","$0.00"
"106692912","0","$0.00"
"106692946","3","$390.00"
"106692961","0","$0.00"
"106693454","0","$0.00"
"106693522","0","$0.00"
"106694292","0","$0.00"
"106694388","2","$600.00"
"106694768","0","$180.00"
"106694952","0","$0.00"
"106695014","2","$610.00"
"106695702","0","$470.00"
"106696115","0","$0.00"
"106698838","0","$0.00"
"106699623","0","$0.00"
"106700069","0","$0.00"
"106700863","0","$0.00"
"106700923","0","$150.00"
"106702174","0","$0.00"
"106702517","0","$0.00"
"106702544","0","$0.00"
"106702578","0","$0.00"
"106702617","0","$0.00"
"106702664","0","$0.00"
"106702702","0","$710.00"
"106702727","0","$70.00"
"106702756","0","$0.00"
"106702848","1","$725.00"
"106702888","0","$0.00"
"106702954","0","$0.00"
"106703005","0","$180.00"
"106703052","0","$0.00"
"106703079","0","$0.00"
"106703173","0","$0.00"
"106703194","0","$75.00"
"106703214","0","$765.00"
"106703341","0","$50.00"
"106704702","0","$530.00"
"106704910","0","$100.00"
"106705105","0","$50.00"
"106705305","0","$75.00"
"106705461","0","$75.00"
"106705633","0","$105.00"
"106705760","0","$300.00"
"106705921","0","$75.00"
"106706162","0","$125.00"
"106706362","0","$75.00"
"106706650","0","$75.00"
"106714021","0","$40.00"
"106729597","0","$75.00"
"106739642","0","$260.00"
"106749929","0","$50.00"
"106750462","0","$525.00"
"106751285","8","$1,050.00"
"106773583","0","$35.00"
"106774407","0","$310.00"
"106774732","0","$50.00"
"106775452","0","$215.00"
"106776170","0","$135.00"
"106800763","0","$75.00"
"106849646","2","$385.00"
"106856838","2","$645.00"
"106864229","0","$195.00"
"106877436","0","$35.00"
"106879465","0","$240.00"
"106880107","0","$50.00"
"106880129","0","$75.00"
"106885130","0","$750.00"
"106888500","0","$70.00"
"106889393","0","$310.00"
"106890513","0","$70.00"
"106891677","0","$50.00"
"106892867","0","$50.00"
"106897162","0","$50.00"
"106897535","0","$35.00"
"106897608","0","$280.00"
"106897723","2","$710.00"
"106897858","3","$1,745.00"
"106898484","0","$75.00"
"106898538","0","$50.00"
"106899191","0","$225.00"
"106899287","0","$1,260.00"
"106899455","0","$210.00"
"106899498","1","$630.00"
"106899533","0","$35.00"
"106899564","0","$70.00"
"106899849","0","$70.00"
"106899882","0","$300.00"
"106900531","2","$560.00"
"106900591","0","$250.00"
"106900833","0","$35.00"
"106900943","0","$100.00"
"106901014","2","$535.00"
"106901052","0","$350.00"
"106901124","0","$350.00"
"106901158","0","$35.00"
"106901185","0","$35.00"
"106901262","0","$175.00"
"106901288","0","$235.00"
"106901332","0","$85.00"
"106901365","0","$35.00"
"106911786","0","$550.00"
"106920444","0","$50.00"
"106921787","0","$35.00"
"106922403","0","$100.00"
"106922609","1","$885.00"
"106922642","1","$410.00"
"106922665","0","$150.00"
"106922682","0","$1,230.00"
"106926929","0","$335.00"
"106926950","0","$75.00"
"106927004","0","$100.00"
"106930289","13","$805.00"
"106930321","0","$50.00"
"106930341","0","$50.00"
"106930363","0","$50.00"
"106930418","0","$110.00"
"106931860","0","$50.00"
"106932821","0","$70.00"
"106932881","0","$75.00"
"106981607","0","$390.00"
"106983103","0","$75.00"
"106983692","1","$640.00"
"106983722","0","$150.00"
"106983841","0","$495.00"
"107024241","0","$35.00"
"107024305","0","$225.00"
"107024423","0","$50.00"
"107024480","0","$35.00"
"107024522","0","$35.00"
"107024565","0","$345.00"
"107024602","1","$770.00"
"107024643","0","$115.00"
"107024704","0","$600.00"
"107024745","0","$115.00"
"107024815","0","$35.00"
"107027219","0","$35.00"
"107027389","0","$105.00"
"107027583","0","$105.00"
"107027892","2","$670.00"
"107028340","0","$70.00"
"107028941","0","$50.00"
"107029211","0","$70.00"
"107029471","0","$70.00"
"107029727","0","$100.00"
"107030791","0","$50.00"
"107031104","1","$1,030.00"
"107031376","0","$200.00"
"107031843","0","$140.00"
"107032075","0","$135.00"
"107032286","0","$175.00"
"107032494","0","$275.00"
"107041870","0","$110.00"
"107046390","0","$105.00"
"107091221","0","$660.00"
"107091242","0","$135.00"
"107091290","0","$75.00"
"107091372","0","$200.00"
"107093036","0","$80.00"
"107094032","0","$250.00"
"107096470","0","$135.00"
"107096860","11","$820.00"
"107097430","0","$35.00"
"107101151","0","$110.00"
"107101595","2","$335.00"
"107103688","0","$135.00"
"107104531","0","$640.00"
"107107247","0","$175.00"
"107107897","0","$50.00"
"107110621","0","$105.00"
"107111288","0","$670.00"
"107111724","0","$135.00"
"107112798","0","$575.00"
"107113984","0","$50.00"
"107114261","0","$285.00"
"107119193","0","$75.00"
"107119261","4","$515.00"
"107119319","0","$50.00"
"107159791","0","$150.00"
"107192753","0","$300.00"
"107192823","0","$140.00"
"107192924","11","$1,075.00"
"107193049","4","$1,675.00"
"107193070","0","$135.00"
"107193097","0","$225.00"
"107193128","0","$1,500.00"
"107193154","4","$460.00"
"107193405","0","$35.00"
"107200135","0","$225.00"
"107359666","0","$75.00"
"107366975","0","$210.00"
"107367519","6","$390.00"
"107367524","4","$555.00"
"107367638","0","$410.00"
"107367853","0","$200.00"
"107370519","0","$250.00"
"107373214","0","$710.00"
"107373231","6","$990.00"
"107373635","0","$2,850.00"
"107376918","6","$797.50"
"107377214","1","$480.00"
"107384258","0","$350.00"
"107396722","2","$920.00"
"107401037","0","$50.00"
"107441608","0","$100.00"
"107444164","0","$50.00"
"107446261","1","$840.00"
"107446457","0","$100.00"
"107449066","0","$50.00"
"107449101","0","$50.00"
"107452924","5","$445.00"
"107460088","0","$75.00"
"107460391","0","$75.00"
"107460406","0","$75.00"
"107469784","1","$650.00"
"107473490","0","$105.00"
"107474169","3","$165.00"
"107477170","2","$575.00"
"107477499","0","$200.00"
"107490590","0","$320.00"
"107508597","0","$100.00"
"107510648","0","$100.00"
"107511087","0","$75.00"
"107511207","0","$500.00"
"107516369","0","$75.00"
"107524655","0","$50.00"
"107526284","0","$385.00"
"107529634","0","$135.00"
"107535209","0","$210.00"
"107537340","2","$1,675.00"
"107537371","0","$70.00"
"107537398","0","$105.00"
"107537434","0","$260.00"
"107537602","0","$225.00"
"107537619","0","$105.00"
"107537896","0","$70.00"
"107537917","0","$100.00"
"107537919","0","$105.00"
"107546230","0","$835.00"
"107609432","0","$85.00"
"107612661","0","$200.00"
"107612784","2","$915.00"
"107612850","0","$140.00"
"107613051","0","$1,170.00"
"107613088","2","$935.00"
"107613144","0","$105.00"
"107613380","0","$35.00"
"107613874","0","$70.00"
"107613897","0","$250.00"
"107613914","0","$1,595.00"
"107613938","0","$50.00"
"107614118","0","$105.00"
"107614151","0","$75.00"
"107614287","0","$50.00"
"107614877","3","$605.00"
"107615010","0","$105.00"
"107615066","0","$100.00"
"107615155","0","$35.00"
"107615197","2","$560.00"
"107615254","0","$240.00"
"107615484","0","$75.00"
"107615816","2","$800.00"
"107615831","0","$35.00"
"107615855","0","$35.00"
"107615880","0","$635.00"
"107615944","0","$40.00"
"107616268","0","$670.00"
"107616776","0","$250.00"
"107617615","0","$270.00"
"107617853","0","$225.00"
"107618207","0","$170.00"
"107618251","4","$745.00"
"107618275","0","$207.00"
"107618291","0","$660.00"
"107619108","0","$100.00"
"107619141","0","$160.00"
"107619176","0","$35.00"
"107619193","0","$50.00"
"107619218","0","$150.00"
"107619266","0","$605.00"
"107619287","0","$210.00"
"107619306","0","$305.00"
"107619338","0","$35.00"
"107619419","0","$100.00"
"107619591","1","$1,240.00"
"107631423","0","$535.00"
"107632344","0","$125.00"
"107633261","0","$35.00"
"107633797","0","$105.00"
"107634243","0","$35.00"
"107635020","0","$250.00"
"107635514","0","$70.00"
"107636106","0","$315.00"
"107638097","0","$35.00"
"107638719","21","$2,600.00"
"107639132","0","$40.00"
"107639826","2","$555.00"
"107640309","0","$225.00"
"107640856","0","$225.00"
"107641418","0","$810.00"
"107641768","0","$35.00"
"107642352","0","$140.00"
"107642942","4","$1,400.00"
"107645447","0","$35.00"
"107645974","0","$360.00"
"107646841","3","$620.00"
"107646853","3","$1,825.00"
"107647250","0","$100.00"
"107678642","0","$75.00"
"107706539","0","$35.00"
"107710520","0","$250.00"
"107710523","0","$100.00"
"107710622","2","$3,040.00"
"107746810","0","$70.00"
"107747873","0","$522.00"
"107752953","0","$50.00"
"107754574","0","$50.00"
"107755204","0","$40.00"
"107759312","4","$915.00"
"107759744","0","$75.00"
"107759774","0","$75.00"
"107759887","0","$50.00"
"107759903","0","$75.00"
"107759917","0","$125.00"
"107759932","0","$75.00"
"107760349","0","$150.00"
"107760356","0","$75.00"
"107760425","0","$75.00"
"107760456","0","$50.00"
"107760466","0","$75.00"
"107760476","0","$235.00"
"107760486","0","$75.00"
"107760495","0","$75.00"
"107760514","0","$50.00"
"107760535","0","$50.00"
"107760549","0","$300.00"
"107760652","0","$365.00"
"107760767","2","$1,000.00"
"107761565","0","$50.00"
"107762020","0","$100.00"
"107762036","0","$50.00"
"107762048","0","$50.00"
"107762067","0","$165.00"
"107762144","7","$2,115.00"
"107762156","0","$150.00"
"107762170","3","$560.00"
"107762189","0","$345.00"
"107762214","6","$1,975.00"
"107762233","0","$35.00"
"107762246","8","$1,125.00"
"107762268","0","$70.00"
"107764228","5","$660.00"
"107765978","4","$640.00"
